"prtvtcit","euftf","imwbcnt","rlgdgr","stflife","gincdif","hmsacld","edlveit","domicil","hincfel","yrbrn","lrscale"
"M5S","HIGH","MODERATE","MODERATE","MODERATE","MODERATE","LOW","College edu","Big city","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","University edu","Small city","Comfortable","Gen X","MODERATE"
"M5S","LOW","LOW","LOW","HIGH","HIGH","HIGH","College edu","Countryside","Difficult","Millennials","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Small city","Coping","Millennials","LEFT"
"CDX","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","College edu","Countryside","Comfortable","Interwar","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Millennials","MODERATE"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","HIGH","College edu","Small city","Coping","Gen X","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Boomers","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","MODERATE"
"CDX","LOW","LOW","HIGH","MODERATE","HIGH","MODERATE","Low edu","Countryside","Comfortable","Boomers","RIGHT"
"CDX","LOW","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Comfortable","Millennials","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","LOW","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","HIGH","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Coping","Boomers","LEFT"
"M5S","LOW","MODERATE","HIGH","MODERATE","HIGH","LOW","College edu","Big city","Difficult","Boomers","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"M5S","HIGH","MODERATE","HIGH","MODERATE","HIGH","LOW","College edu","Suburbs","Comfortable","Gen X","MODERATE"
"M5S","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Big city","Comfortable","Interwar","MODERATE"
"M5S","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Boomers","RIGHT"
"CDX","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Millennials","RIGHT"
"CSX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Interwar","MODERATE"
"M5S","LOW","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Difficult","Interwar","LEFT"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","MODERATE","LOW","MODERATE","HIGH","LOW","LOW","University edu","Small city","Coping","Millennials","RIGHT"
"CDX","LOW","LOW","MODERATE","MODERATE","HIGH","MODERATE","College edu","Suburbs","Coping","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","College edu","Suburbs","Coping","Millennials","LEFT"
"CDX","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","RIGHT"
"CDX","MODERATE","MODERATE","HIGH","LOW","HIGH","LOW","College edu","Big city","Comfortable","Gen X","RIGHT"
"M5S","HIGH","LOW","MODERATE","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Gen X","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","MODERATE","LOW","University edu","Big city","Comfortable","Boomers","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Big city","Comfortable","Millennials","LEFT"
"M5S","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Big city","Coping","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","HIGH","Low edu","Small city","Coping","Boomers","MODERATE"
"CDX","HIGH","LOW","HIGH","HIGH","HIGH","MODERATE","Low edu","Small city","Comfortable","Millennials","RIGHT"
"M5S","HIGH","LOW","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Difficult","Boomers","RIGHT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Difficult","Boomers","RIGHT"
"CSX","MODERATE","HIGH","LOW","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Millennials","LEFT"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Difficult","Boomers","RIGHT"
"M5S","LOW","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Boomers","MODERATE"
"M5S","HIGH","MODERATE","LOW","HIGH","LOW","HIGH","University edu","Small city","Comfortable","Millennials","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Millennials","RIGHT"
"CDX","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Suburbs","Difficult","Boomers","RIGHT"
"CSX","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","LEFT"
"CDX","LOW","LOW","LOW","MODERATE","HIGH","MODERATE","College edu","Countryside","Coping","Millennials","RIGHT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Millennials","LEFT"
"CDX","HIGH","LOW","MODERATE","HIGH","LOW","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"CDX","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","RIGHT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Coping","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","College edu","Countryside","Comfortable","Boomers","RIGHT"
"M5S","LOW","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Suburbs","Difficult","Gen X","MODERATE"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Difficult","Millennials","LEFT"
"CSX","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Interwar","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Difficult","Millennials","LEFT"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Interwar","LEFT"
"M5S","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Comfortable","Gen X","RIGHT"
"M5S","MODERATE","LOW","MODERATE","MODERATE","HIGH","HIGH","College edu","Suburbs","Comfortable","Millennials","LEFT"
"CDX","MODERATE","MODERATE","LOW","MODERATE","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","MODERATE","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"CSX","LOW","LOW","HIGH","HIGH","LOW","LOW","Low edu","Countryside","Difficult","Boomers","LEFT"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Suburbs","Comfortable","Millennials","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","HIGH","Low edu","Small city","Coping","Interwar","LEFT"
"CDX","HIGH","LOW","HIGH","HIGH","MODERATE","MODERATE","University edu","Countryside","Coping","Boomers","RIGHT"
"M5S","MODERATE","MODERATE","HIGH","LOW","HIGH","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","RIGHT"
"CDX","MODERATE","LOW","LOW","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Millennials","MODERATE"
"M5S","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","MODERATE"
"CSX","MODERATE","HIGH","MODERATE","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Millennials","MODERATE"
"M5S","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","University edu","Small city","Comfortable","Millennials","MODERATE"
"CSX","HIGH","LOW","HIGH","HIGH","HIGH","MODERATE","Low edu","Small city","Coping","Boomers","LEFT"
"M5S","HIGH","HIGH","MODERATE","HIGH","MODERATE","HIGH","College edu","Small city","Comfortable","Millennials","RIGHT"
"CSX","HIGH","HIGH","MODERATE","MODERATE","HIGH","HIGH","Low edu","Big city","Coping","Boomers","LEFT"
"CDX","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","University edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","MODERATE","LOW","College edu","Small city","Comfortable","Boomers","LEFT"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","RIGHT"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Comfortable","Boomers","LEFT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Coping","Millennials","LEFT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","College edu","Small city","Comfortable","Millennials","MODERATE"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","LOW","HIGH","LOW","LOW","University edu","Small city","Comfortable","Gen X","RIGHT"
"M5S","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","College edu","Small city","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","LOW","LOW","College edu","Small city","Comfortable","Boomers","MODERATE"
"CDX","LOW","LOW","LOW","LOW","HIGH","LOW","College edu","Big city","Coping","Boomers","MODERATE"
"M5S","LOW","LOW","LOW","MODERATE","HIGH","LOW","Low edu","Small city","Difficult","Boomers","MODERATE"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","MODERATE","University edu","Suburbs","Comfortable","Millennials","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Boomers","RIGHT"
"CSX","LOW","MODERATE","LOW","MODERATE","HIGH","HIGH","University edu","Small city","Coping","Boomers","LEFT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Millennials","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Interwar","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Suburbs","Coping","Gen X","LEFT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","HIGH","College edu","Countryside","Difficult","Millennials","LEFT"
"CSX","MODERATE","HIGH","HIGH","MODERATE","HIGH","HIGH","University edu","Countryside","Coping","Millennials","LEFT"
"CDX","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","LEFT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","HIGH","College edu","Small city","Coping","Gen X","MODERATE"
"M5S","HIGH","HIGH","MODERATE","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Gen X","LEFT"
"M5S","HIGH","MODERATE","MODERATE","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Interwar","MODERATE"
"M5S","HIGH","MODERATE","HIGH","HIGH","MODERATE","MODERATE","Low edu","Countryside","Difficult","Millennials","MODERATE"
"M5S","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Big city","Difficult","Boomers","MODERATE"
"CSX","HIGH","LOW","MODERATE","MODERATE","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Small city","Coping","Boomers","LEFT"
"CSX","HIGH","MODERATE","LOW","LOW","HIGH","LOW","University edu","Countryside","Comfortable","Millennials","LEFT"
"CSX","MODERATE","HIGH","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Coping","Gen X","LEFT"
"CDX","HIGH","MODERATE","MODERATE","HIGH","HIGH","MODERATE","Low edu","Small city","Comfortable","Gen X","RIGHT"
"M5S","LOW","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Boomers","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Interwar","RIGHT"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","University edu","Countryside","Comfortable","Gen X","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Interwar","MODERATE"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Small city","Comfortable","Millennials","MODERATE"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","LEFT"
"CDX","HIGH","LOW","HIGH","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Millennials","RIGHT"
"CSX","HIGH","MODERATE","HIGH","LOW","HIGH","HIGH","Low edu","Small city","Comfortable","Boomers","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Big city","Coping","Millennials","LEFT"
"CDX","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Countryside","Difficult","Millennials","RIGHT"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Difficult","Millennials","RIGHT"
"CDX","LOW","LOW","LOW","MODERATE","HIGH","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","MODERATE","HIGH","HIGH","College edu","Big city","Coping","Millennials","LEFT"
"CDX","LOW","MODERATE","HIGH","HIGH","LOW","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"CDX","MODERATE","HIGH","HIGH","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Millennials","LEFT"
"M5S","LOW","LOW","HIGH","MODERATE","HIGH","MODERATE","Low edu","Countryside","Difficult","Boomers","LEFT"
"CSX","HIGH","HIGH","MODERATE","MODERATE","HIGH","HIGH","College edu","Countryside","Coping","Boomers","LEFT"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Gen X","MODERATE"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Boomers","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Boomers","LEFT"
"CDX","HIGH","LOW","MODERATE","MODERATE","HIGH","MODERATE","College edu","Small city","Coping","Millennials","RIGHT"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MODERATE","Low edu","Countryside","Comfortable","Boomers","LEFT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Countryside","Coping","Gen X","RIGHT"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Boomers","LEFT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Millennials","RIGHT"
"CSX","LOW","HIGH","HIGH","LOW","HIGH","MODERATE","Low edu","Small city","Coping","Interwar","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Countryside","Comfortable","Millennials","LEFT"
"M5S","LOW","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","University edu","Big city","Comfortable","Boomers","MODERATE"
"M5S","LOW","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Big city","Coping","Boomers","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","LEFT"
"M5S","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Coping","Millennials","MODERATE"
"CDX","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","University edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","MODERATE","HIGH","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","LOW","LOW","HIGH","MODERATE","HIGH","MODERATE","Low edu","Countryside","Difficult","Gen X","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Gen X","RIGHT"
"CDX","MODERATE","LOW","MODERATE","HIGH","MODERATE","LOW","Low edu","Countryside","Coping","Gen X","RIGHT"
"CSX","HIGH","MODERATE","LOW","MODERATE","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","LEFT"
"M5S","MODERATE","MODERATE","LOW","LOW","HIGH","HIGH","College edu","Small city","Difficult","Gen X","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Small city","Coping","Interwar","MODERATE"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","University edu","Small city","Comfortable","Millennials","MODERATE"
"M5S","LOW","MODERATE","HIGH","MODERATE","HIGH","LOW","Low edu","Suburbs","Difficult","Interwar","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","MODERATE"
"M5S","LOW","LOW","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Coping","Millennials","MODERATE"
"CDX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Millennials","MODERATE"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","College edu","Small city","Comfortable","Interwar","LEFT"
"M5S","LOW","MODERATE","MODERATE","HIGH","HIGH","HIGH","College edu","Small city","Difficult","Millennials","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","HIGH","Low edu","Big city","Difficult","Boomers","MODERATE"
"M5S","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Countryside","Difficult","Millennials","LEFT"
"CSX","MODERATE","LOW","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Millennials","MODERATE"
"M5S","MODERATE","LOW","LOW","LOW","HIGH","LOW","College edu","Countryside","Difficult","Gen X","MODERATE"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","University edu","Small city","Coping","Boomers","LEFT"
"CDX","LOW","LOW","HIGH","MODERATE","HIGH","LOW","College edu","Small city","Comfortable","Boomers","RIGHT"
"CDX","MODERATE","MODERATE","LOW","MODERATE","HIGH","LOW","Low edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","MODERATE","HIGH","HIGH","LOW","HIGH","HIGH","Low edu","Countryside","Difficult","Gen X","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","LOW","College edu","Countryside","Coping","Boomers","LEFT"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Small city","Coping","Interwar","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Small city","Coping","Gen X","MODERATE"
"CSX","MODERATE","MODERATE","LOW","MODERATE","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","LEFT"
"M5S","LOW","LOW","LOW","MODERATE","HIGH","MODERATE","Low edu","Small city","Difficult","Boomers","MODERATE"
"M5S","MODERATE","MODERATE","LOW","MODERATE","HIGH","MODERATE","College edu","Small city","Difficult","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","MODERATE","LOW","College edu","Big city","Comfortable","Millennials","LEFT"
"M5S","MODERATE","LOW","MODERATE","LOW","HIGH","HIGH","College edu","Small city","Coping","Millennials","MODERATE"
"M5S","LOW","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Interwar","MODERATE"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","University edu","Small city","Coping","Gen X","RIGHT"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Big city","Coping","Interwar","MODERATE"
"CSX","HIGH","HIGH","HIGH","HIGH","HIGH","MODERATE","Low edu","Small city","Coping","Gen X","MODERATE"
"M5S","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Gen X","MODERATE"
"CDX","HIGH","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Gen X","MODERATE"
"CDX","LOW","LOW","LOW","MODERATE","HIGH","MODERATE","College edu","Small city","Comfortable","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","MODERATE","LOW","Low edu","Big city","Difficult","Millennials","RIGHT"
"CDX","LOW","MODERATE","HIGH","HIGH","LOW","LOW","Low edu","Countryside","Coping","Boomers","MODERATE"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","MODERATE","MODERATE","LOW","Low edu","Suburbs","Coping","Boomers","MODERATE"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","College edu","Suburbs","Coping","Millennials","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Suburbs","Comfortable","Millennials","LEFT"
"M5S","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Gen X","MODERATE"
"CDX","HIGH","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","MODERATE"
"M5S","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MODERATE","Low edu","Countryside","Difficult","Gen X","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","MODERATE","HIGH","University edu","Small city","Comfortable","Gen X","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Big city","Difficult","Millennials","RIGHT"
"CDX","HIGH","LOW","HIGH","HIGH","MODERATE","LOW","University edu","Small city","Comfortable","Interwar","RIGHT"
"CSX","HIGH","MODERATE","HIGH","MODERATE","MODERATE","LOW","Low edu","Suburbs","Difficult","Boomers","LEFT"
"M5S","HIGH","MODERATE","LOW","MODERATE","HIGH","HIGH","Low edu","Small city","Coping","Millennials","LEFT"
"CSX","LOW","LOW","MODERATE","LOW","MODERATE","LOW","College edu","Small city","Coping","Interwar","MODERATE"
"CDX","MODERATE","LOW","LOW","HIGH","HIGH","LOW","Low edu","Big city","Coping","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Big city","Coping","Millennials","LEFT"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Interwar","LEFT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Boomers","RIGHT"
"CSX","HIGH","LOW","MODERATE","HIGH","HIGH","HIGH","College edu","Small city","Coping","Millennials","RIGHT"
"M5S","HIGH","HIGH","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Interwar","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Coping","Millennials","MODERATE"
"M5S","MODERATE","LOW","LOW","MODERATE","HIGH","LOW","University edu","Suburbs","Difficult","Gen X","MODERATE"
"CDX","LOW","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Small city","Difficult","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","Low edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","HIGH","MODERATE","HIGH","LOW","College edu","Small city","Coping","Interwar","LEFT"
"CDX","LOW","LOW","LOW","HIGH","MODERATE","LOW","Low edu","Countryside","Difficult","Millennials","RIGHT"
"M5S","HIGH","HIGH","MODERATE","HIGH","MODERATE","HIGH","University edu","Small city","Comfortable","Boomers","RIGHT"
"M5S","MODERATE","MODERATE","LOW","MODERATE","HIGH","HIGH","Low edu","Small city","Coping","Boomers","MODERATE"
"M5S","HIGH","HIGH","LOW","HIGH","MODERATE","HIGH","University edu","Small city","Comfortable","Millennials","RIGHT"
"M5S","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Millennials","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Coping","Boomers","RIGHT"
"M5S","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Coping","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","Low edu","Small city","Difficult","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Comfortable","Boomers","LEFT"
"M5S","LOW","LOW","LOW","LOW","HIGH","HIGH","Low edu","Big city","Difficult","Boomers","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","LOW","LOW","Low edu","Small city","Difficult","Gen X","RIGHT"
"CSX","LOW","LOW","LOW","HIGH","HIGH","HIGH","University edu","Countryside","Coping","Gen X","LEFT"
"CDX","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","RIGHT"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Millennials","MODERATE"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Boomers","LEFT"
"M5S","HIGH","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"M5S","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","LOW","MODERATE","MODERATE","MODERATE","HIGH","LOW","Low edu","Countryside","Comfortable","Interwar","LEFT"
